1.408901209677419430e+01 0.000000000000000000e+00 0.000000000000000000e+00
1.421401209677419430e+01 8.291270872548684156e-06 4.200151551627367540e-04
1.433901209677419430e+01 5.731805221378920295e-05 1.162747587402092027e-03
1.446401209677419430e+01 1.637441209707928816e-04 2.090712532697055082e-03
1.458901209677419430e+01 3.365325758932648887e-04 3.150437645159640844e-03
1.471401209677419430e+01 5.809110354757073685e-04 4.309241381499200399e-03
1.483901209677419430e+01 8.997122074494478053e-04 5.544138068144386505e-03
1.496401209677419430e+01 1.294076955286343209e-03 6.837730502701235002e-03
1.508901209677419430e+01 1.763890943226683770e-03 8.176247883510335407e-03
1.521401209677419430e+01 2.308083048969524452e-03 9.548460446007836500e-03
1.533901209677419430e+01 2.924842178532512538e-03 1.094501747318597784e-02
1.546401209677419430e+01 3.611781528730070683e-03 1.235801410024664308e-02
1.558901209677419430e+01 4.366066804571752148e-03 1.378069230979409553e-02
1.571401209677419430e+01 5.184518512448511515e-03 1.520722571916853852e-02
1.583901209677419430e+01 6.063694908981523413e-03 1.663255935347707562e-02
1.596401209677419430e+01 6.999960088051664434e-03 1.805228698959814720e-02
1.608901209677419430e+01 7.989540378502243273e-03 1.946255504923197210e-02
1.621401209677419075e+01 9.028571370154945749e-03 2.085998579303918049e-02
1.633901209677419075e+01 1.011313730707678708e-02 2.224161489242192785e-02
1.646401209677419075e+01 1.123930418280248873e-02 2.360483993986556284e-02
1.658901209677419075e+01 1.240314758211374761e-02 2.494737743658254764e-02
1.671401209677419075e+01 1.360077610081549503e-02 2.626722645804779876e-02
1.683901209677419075e+01 1.482835101503350052e-02 2.756263765680857375e-02
1.696401209677419075e+01 1.608210274937271062e-02 2.883208658679328393e-02
1.708901209677419075e+01 1.735834459836689894e-02 3.007425056773533126e-02
1.721401209677419075e+01 1.865348408085901535e-02 3.128798848035631297e-02
1.733901209677419075e+01 1.996403224720658121e-02 3.247232301116965286e-02
1.746401209677419075e+01 2.128661121094993502e-02 3.362642496267489317e-02
1.758901209677419075e+01 2.261796013713691933e-02 3.474959931890072434e-02
1.771401209677419075e+01 2.395493988698348467e-02 3.584127281371942558e-02
1.783901209677419075e+01 2.529453649148730165e-02 3.690098279434819023e-02
1.796401209677419075e+01 2.663386360390785496e-02 3.792836720803464956e-02
1.808901209677419075e+01 2.797016406184930568e-02 3.892315556832450646e-02
1.821401209677419075e+01 2.930081067336269551e-02 3.988516078017298461e-02
1.833901209677419075e+01 3.062330632753104340e-02 4.081427172171701867e-02
1.846401209677419075e+01 3.193528351797199349e-02 4.171044649569657231e-02
1.858901209677419075e+01 3.323450335731516908e-02 4.257370627600520069e-02
