1.465604838709677438e+01 nan nan
1.478104838709677438e+01 5.693163367432596208e-07 4.065260406763067006e-06
1.490604838709677438e+01 1.203376336156747254e-05 2.160060447485743986e-05
1.503104838709677438e+01 4.054654348528812646e-05 5.756423458932774013e-05
1.515604838709677438e+01 8.975251189459344922e-05 1.151418471364038730e-04
1.528104838709677438e+01 1.621823735438295217e-04 1.965949374279674674e-04
1.540604838709677438e+01 2.596627395725423899e-04 3.035721555590748444e-04
1.553104838709677438e+01 3.835179662446632680e-04 4.372735881811470838e-04
1.565604838709677438e+01 5.346902975881398859e-04 5.985524400856426491e-04
1.578104838709677438e+01 7.138195873506637422e-04 7.879842419056945144e-04
1.590604838709677438e+01 9.213000911105907569e-04 1.005917041718103200e-03
1.603104838709677438e+01 1.157322993474627125e-03 1.252509492038887456e-03
1.615604838709677438e+01 1.421909445891143299e-03 1.527760743504085524e-03
1.628104838709677438e+01 1.714936961364991758e-03 1.831534524347210513e-03
1.640604838709677438e+01 2.036160967930962778e-03 2.163578936308808032e-03
1.653104838709677438e+01 2.385232717689534689e-03 2.523542997067205855e-03
1.665604838709677438e+01 2.761714378155418620e-03 2.910990648543681017e-03
1.678104838709677438e+01 3.165091896038915893e-03 3.325412749243669957e-03
1.690604838709677438e+01 3.594786066519721577e-03 3.766237433840587557e-03
1.703104838709677438e+01 4.050162133468647972e-03 4.232839129907347425e-03
1.715604838709677438e+01 4.530538170307656619e-03 4.724546455491295330e-03
1.728104838709677438e+01 5.035192436567246729e-03 5.240649173158141473e-03
1.740604838709677438e+01 5.563369864971382146e-03 5.780404340521939910e-03
1.753104838709677438e+01 6.114287803702283912e-03 6.343041770423311736e-03
1.765604838709677438e+01 6.687141115478397423e-03 6.927768893337962579e-03
1.778104838709677438e+01 7.281106717257777340e-03 7.533775098597724103e-03
1.790604838709677438e+01 7.895347630392738486e-03 8.160235618402336341e-03
1.803104838709677438e+01 8.529016599950031002e-03 8.806315008553252180e-03
1.815604838709677438e+01 9.181259332984593666e-03 9.471170271745130848e-03
1.828104838709677438e+01 9.851217398307222928e-03 1.015395366266039733e-02
1.840604838709677438e+01 1.053803082435033310e-02 1.085381520869974428e-02
1.853104838709677438e+01 1.124084042682666797e-02 1.156990497569705678e-02
1.865604838709677438e+01 1.195878989378703315e-02 1.230137510422312994e-02
1.878104838709677438e+01 1.269102765224994905e-02 1.304738163893405002e-02
1.890604838709677438e+01 1.343670853767317541e-02 1.380708617075298780e-02
1.903104838709677438e+01 1.419499528506886279e-02 1.457965730940313266e-02
1.915604838709677438e+01 1.496505985845009330e-02 1.536427200186125594e-02
1.928104838709677438e+01 1.574608463347738213e-02 1.616011671062269478e-02
1.940604838709677438e+01 1.653726344659995837e-02 1.696638846421586258e-02
1.953104838709677438e+01 1.733780252261792401e-02 1.778229579113651745e-02
1.965604838709677438e+01 1.814692129139541463e-02 1.860705954726671676e-02
1.978104838709677438e+01 1.896385310340642158e-02 1.943991364587044704e-02
